iter	Passed	Remaining
0	3	3729
1	6	3256
2	9	3095
3	12	2994
4	15	3020
5	18	3016
6	20	2966
7	23	2935
8	26	2906
9	29	2910
10	32	2958
11	35	2948
12	38	2945
13	41	2924
14	44	2935
15	48	2979
16	51	2973
17	54	2952
18	56	2927
19	59	2922
20	63	2971
21	66	2970
22	69	2965
23	72	2957
24	75	2947
25	79	2974
26	82	2963
27	84	2943
28	87	2925
29	89	2902
30	93	2912
31	96	2917
32	98	2900
33	101	2878
34	103	2860
35	106	2847
36	110	2865
37	112	2852
38	115	2837
39	117	2820
40	119	2803
41	122	2791
42	125	2803
43	128	2795
44	131	2782
45	133	2767
46	135	2754
47	138	2743
48	142	2757
49	144	2746
50	146	2731
51	149	2718
52	151	2707
53	154	2699
54	157	2701
55	159	2696
56	162	2684
57	164	2674
58	167	2666
59	169	2655
60	172	2658
61	175	2658
62	178	2649
63	180	2641
64	183	2643
65	186	2636
66	189	2643
67	192	2636
68	194	2626
69	197	2619
70	199	2611
71	201	2603
72	205	2605
73	208	2602
74	210	2595
75	212	2588
76	215	2581
77	217	2574
78	220	2574
79	223	2573
80	226	2566
81	228	2559
82	231	2554
83	233	2547
84	236	2546
85	239	2545
86	241	2538
87	244	2531
88	246	2524
89	249	2518
90	251	2515
91	254	2515
92	257	2509
93	259	2503
94	262	2496
95	264	2488
96	266	2480
97	269	2482
98	272	2478
99	274	2474
100	277	2468
101	279	2462
102	281	2455
103	284	2455
104	287	2450
105	289	2444
106	292	2440
107	294	2434
108	297	2429
109	299	2427
110	302	2426
111	305	2421
112	307	2415
113	309	2407
114	312	2401
115	315	2401
116	318	2401
117	320	2397
118	323	2394
119	325	2387
120	327	2381
121	330	2377
122	333	2378
123	336	2377
124	338	2370
125	340	2364
126	343	2362
127	346	2357
128	348	2356
129	352	2358
130	354	2354
131	357	2351
132	359	2345
133	362	2345
134	366	2346
135	369	2345
136	371	2341
137	374	2337
138	376	2333
139	379	2328
140	382	2330
141	384	2324
142	386	2318
143	389	2314
144	391	2309
145	394	2304
146	396	2303
147	400	2304
148	403	2302
149	405	2298
150	408	2298
151	411	2294
152	414	2297
153	417	2294
154	419	2288
155	422	2283
156	424	2277
157	426	2274
158	430	2275
159	433	2276
160	436	2274
161	439	2274
162	443	2275
163	446	2276
164	449	2273
165	452	2271
166	455	2271
167	457	2266
168	460	2264
169	463	2264
170	467	2264
171	469	2261
172	472	2258
173	475	2258
174	479	2258
175	482	2258
176	485	2256
177	488	2254
178	491	2252
179	494	2254
180	498	2256
181	501	2254
182	504	2252
183	507	2252
184	511	2253
185	515	2254
186	518	2253
187	521	2250
188	524	2250
189	527	2250
190	531	2249
191	533	2246
192	536	2243
193	539	2242
194	543	2242
195	546	2241
196	549	2238
197	552	2236
198	555	2235
199	559	2237
200	562	2236
201	565	2234
202	567	2229
203	571	2230
204	575	2230
205	578	2229
206	581	2226
207	584	2226
208	588	2226
209	592	2227
210	595	2225
211	598	2223
212	600	2219
213	604	2220
214	607	2218
215	611	2217
216	613	2214
217	616	2212
218	619	2211
219	623	2211
220	626	2209
221	629	2207
222	631	2201
223	635	2200
224	639	2201
225	641	2198
226	644	2194
227	646	2190
228	649	2187
229	653	2187
230	656	2185
231	658	2181
232	661	2176
233	663	2172
234	666	2169
235	670	2169
236	672	2165
237	675	2161
238	677	2157
239	679	2152
240	682	2150
241	685	2148
242	688	2143
243	690	2139
244	692	2134
245	694	2129
246	697	2126
247	700	2124
248	702	2120
249	705	2115
250	707	2110
251	709	2106
252	711	2101
253	714	2099
254	717	2097
255	720	2092
256	722	2088
257	724	2084
258	726	2079
259	729	2076
260	732	2074
261	734	2070
262	737	2065
263	739	2062
264	742	2058
265	745	2056
266	748	2055
267	751	2053
268	754	2050
269	757	2046
270	759	2044
271	763	2044
272	766	2041
273	769	2038
274	772	2035
275	775	2033
276	778	2032
277	782	2031
278	785	2029
279	788	2027
280	791	2024
281	794	2022
282	797	2020
283	800	2018
284	803	2015
285	806	2012
286	808	2009
287	812	2008
288	815	2006
289	818	2004
290	821	2002
291	824	1999
292	828	1998
293	831	1996
294	833	1992
295	836	1989
296	839	1986
297	842	1984
298	845	1981
299	847	1977
300	849	1973
301	852	1969
302	854	1966
303	857	1963
304	860	1961
305	863	1957
306	865	1953
307	867	1949
308	870	1945
309	872	1942
310	875	1940
311	878	1936
312	880	1932
313	882	1928
314	884	1924
315	887	1920
316	890	1918
317	892	1915
318	895	1910
319	897	1907
320	899	1903
321	902	1899
322	904	1896
323	908	1894
324	910	1891
325	913	1888
326	915	1884
327	918	1882
328	921	1879
329	925	1879
330	927	1875
331	929	1871
332	932	1868
333	935	1864
334	939	1864
335	941	1860
336	944	1857
337	946	1853
338	948	1850
339	951	1847
340	954	1845
341	957	1842
342	959	1838
343	961	1834
344	964	1831
345	966	1827
346	970	1825
347	972	1822
348	974	1818
349	977	1814
350	979	1810
351	981	1806
352	984	1803
353	987	1801
354	989	1798
355	992	1795
356	994	1791
357	997	1788
358	999	1785
359	1002	1782
360	1005	1779
361	1007	1775
362	1010	1773
363	1012	1769
364	1015	1766
365	1019	1765
366	1021	1762
367	1024	1759
368	1026	1755
369	1028	1751
370	1032	1749
371	1036	1749
372	1038	1746
373	1041	1743
374	1044	1740
375	1046	1737
376	1050	1735
377	1053	1733
378	1057	1732
379	1060	1729
380	1063	1727
381	1066	1725
382	1071	1726
383	1075	1724
384	1078	1722
385	1081	1720
386	1085	1719
387	1088	1716
388	1090	1713
389	1093	1709
390	1096	1707
391	1099	1705
392	1103	1703
393	1105	1700
394	1108	1697
395	1110	1693
396	1113	1691
397	1117	1689
398	1119	1686
399	1122	1683
400	1124	1679
401	1127	1677
402	1130	1675
403	1134	1673
404	1136	1670
405	1139	1666
406	1141	1663
407	1144	1661
408	1148	1659
409	1151	1656
410	1153	1653
411	1156	1649
412	1158	1647
413	1161	1643
414	1163	1640
415	1166	1637
416	1168	1633
417	1171	1631
418	1174	1629
419	1177	1626
420	1180	1623
421	1182	1619
422	1184	1616
423	1187	1612
424	1189	1609
425	1193	1607
426	1195	1604
427	1198	1601
428	1200	1597
429	1202	1594
430	1204	1590
431	1207	1588
432	1210	1585
433	1213	1582
434	1215	1578
435	1217	1575
436	1220	1571
437	1223	1569
438	1226	1566
439	1228	1563
440	1230	1559
441	1232	1556
442	1234	1552
443	1237	1549
444	1240	1547
445	1243	1544
446	1245	1541
447	1248	1537
448	1250	1534
449	1252	1530
450	1255	1528
451	1259	1526
452	1261	1523
453	1264	1520
454	1266	1516
455	1268	1513
456	1271	1510
457	1274	1508
458	1277	1505
459	1279	1501
460	1281	1498
461	1283	1494
462	1286	1492
463	1290	1490
464	1292	1487
465	1294	1483
466	1297	1480
467	1299	1477
468	1302	1474
469	1305	1471
470	1307	1468
471	1309	1465
472	1312	1461
473	1314	1458
474	1316	1454
475	1319	1452
476	1322	1450
477	1324	1446
478	1327	1443
479	1329	1439
480	1331	1436
481	1334	1433
482	1337	1431
483	1340	1428
484	1342	1425
485	1344	1422
486	1347	1419
487	1349	1415
488	1352	1413
489	1355	1411
490	1358	1407
491	1360	1404
492	1362	1401
493	1365	1398
494	1369	1396
495	1371	1394
496	1374	1390
497	1376	1387
498	1379	1384
499	1382	1382
500	1385	1380
501	1388	1377
502	1390	1374
503	1393	1371
504	1395	1367
505	1398	1365
506	1401	1362
507	1404	1359
508	1406	1356
509	1408	1353
510	1410	1350
511	1413	1347
512	1417	1345
513	1419	1342
514	1422	1339
515	1424	1336
516	1426	1333
517	1429	1330
518	1433	1328
519	1435	1325
520	1438	1322
521	1440	1318
522	1442	1315
523	1444	1312
524	1447	1310
525	1451	1307
526	1454	1305
527	1456	1302
528	1459	1299
529	1463	1297
530	1466	1295
531	1469	1292
532	1472	1289
533	1475	1287
534	1478	1284
535	1481	1282
536	1484	1280
537	1487	1277
538	1490	1274
539	1494	1272
540	1498	1270
541	1501	1268
542	1503	1265
543	1506	1263
544	1510	1260
545	1514	1259
546	1517	1256
547	1521	1254
548	1524	1252
549	1527	1249
550	1531	1247
551	1534	1245
552	1537	1242
553	1540	1240
554	1544	1238
555	1547	1235
556	1550	1233
557	1553	1230
558	1556	1228
559	1560	1226
560	1563	1223
561	1566	1221
562	1569	1218
563	1572	1215
564	1576	1213
565	1579	1211
566	1582	1208
567	1585	1205
568	1588	1203
569	1591	1200
570	1594	1198
571	1597	1195
572	1600	1192
573	1603	1190
574	1607	1188
575	1611	1185
576	1614	1183
577	1617	1181
578	1621	1178
579	1625	1176
580	1628	1174
581	1631	1171
582	1634	1169
583	1638	1167
584	1642	1164
585	1645	1162
586	1648	1160
587	1651	1157
588	1655	1154
589	1658	1152
590	1661	1149
591	1664	1146
592	1666	1143
593	1669	1141
594	1672	1138
595	1675	1135
596	1678	1133
597	1680	1129
598	1683	1126
599	1686	1124
600	1689	1121
601	1691	1118
602	1694	1115
603	1697	1112
604	1700	1110
605	1704	1108
606	1706	1104
607	1708	1101
608	1711	1098
609	1713	1095
610	1716	1092
611	1719	1090
612	1721	1087
613	1724	1083
614	1726	1080
615	1728	1077
616	1730	1074
617	1734	1072
618	1737	1069
619	1740	1066
620	1742	1063
621	1745	1060
622	1747	1057
623	1750	1054
624	1753	1051
625	1755	1048
626	1757	1045
627	1759	1042
628	1761	1039
629	1764	1036
630	1767	1033
631	1770	1030
632	1772	1027
633	1774	1024
634	1776	1021
635	1779	1018
636	1782	1015
637	1785	1012
638	1787	1009
639	1789	1006
640	1791	1003
641	1794	1000
642	1797	997
643	1800	995
644	1802	992
645	1804	989
646	1807	986
647	1809	982
648	1812	980
649	1815	977
650	1817	974
651	1820	971
652	1823	968
653	1825	965
654	1828	963
655	1831	960
656	1833	957
657	1836	954
658	1838	951
659	1840	948
660	1842	945
661	1846	942
662	1848	939
663	1851	936
664	1853	933
665	1855	930
666	1858	927
667	1861	924
668	1864	922
669	1866	919
670	1868	916
671	1870	913
672	1873	910
673	1875	907
674	1879	904
675	1881	901
676	1883	898
677	1886	895
678	1888	892
679	1891	889
680	1894	887
681	1897	884
682	1899	881
683	1901	878
684	1903	875
685	1906	872
686	1908	869
687	1911	867
688	1914	864
689	1916	861
690	1918	858
691	1921	855
692	1923	852
693	1926	849
694	1929	846
695	1931	843
696	1933	840
697	1936	837
698	1938	834
699	1941	832
700	1944	829
701	1946	826
702	1948	823
703	1950	820
704	1953	817
705	1955	814
706	1959	811
707	1961	808
708	1963	805
709	1965	802
710	1968	799
711	1970	796
712	1973	794
713	1975	791
714	1978	788
715	1980	785
716	1982	782
717	1985	779
718	1988	777
719	1991	774
720	1994	771
721	1996	768
722	1999	766
723	2001	763
724	2005	760
725	2008	757
726	2010	755
727	2013	752
728	2015	749
729	2018	746
730	2021	744
731	2025	741
732	2027	738
733	2030	735
734	2033	733
735	2036	730
736	2040	727
737	2042	725
738	2045	722
739	2048	719
740	2052	717
741	2055	714
742	2058	712
743	2061	709
744	2063	706
745	2066	703
746	2070	701
747	2073	698
748	2076	695
749	2079	693
750	2082	690
751	2085	687
752	2088	685
753	2091	682
